Cities,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Abu Dhabi,24.47,54.37,65.26,93,75,2.24
Acari,-6.44,-36.64,70.17,96,20,5.99
Adrar,27.87,-0.29,39.2,51,0,10.29
Adzope,6.11,-3.86,59.73,84,0,2.75
Ahipara,-35.17,173.16,63.78,100,92,12.66
Airai,-8.93,125.41,76.92,86,88,2.3
Ak-Dovurak,51.17,90.6,8.11,70,32,1.86
Albany,42.65,-73.75,34.7,74,20,24.16
Alice Springs,-23.7,133.88,104.0,11,0,8.05
Aligudarz,33.4,49.69,53.2,26,0,10.8
Alta Floresta,-9.87,-56.08,72.78,99,80,1.97
Am Timan,11.04,20.28,73.45,25,0,12.82
Amahai,-3.31,129.0,85.6,100,8,3.53
Amalapuram,16.58,82.0,80.65,70,0,8.57
Amapa,15.09,-87.97,75.2,100,75,5.82
Ambilobe,-13.19,49.05,70.17,100,92,3.87
Ampanihy,-24.69,44.75,80.97,61,0,4.21
Ancud,-41.87,-73.83,49.74,90,88,5.28
Angoche,-16.23,39.91,83.58,100,20,16.58
Angul,20.84,85.1,77.05,71,0,4.09
Antalaha,-14.9,50.28,79.08,92,44,2.75
Arawa,7.05,3.9,68.37,93,0,2.37
Archidona,-0.91,-77.81,58.02,94,92,1.52
Arlit,18.74,7.39,48.43,34,0,8.41
Arman,59.7,150.17,-25.61,74,0,2.24
Arraial do Cabo,-22.97,-42.02,76.11,87,12,20.83
Artyom,43.36,132.19,28.4,54,76,1.3
Atambua,-9.11,124.89,80.56,100,80,7.11
Atasu,48.68,71.64,27.24,89,92,13.04
Atuona,-9.8,-139.03,80.2,100,48,10.76
Auki,12.18,6.51,61.98,48,0,12.59
Avarua,-21.21,-159.78,78.8,65,75,8.05
Aykhal,65.95,111.51,-34.6,61,44,2.82
Baculin,7.45,126.58,79.17,100,48,3.87
Baishishan,43.58,127.55,16.93,76,56,5.99
Ballina,54.11,-9.15,50.86,97,92,22.84
Bambous Virieux,-20.34,57.76,80.6,78,75,2.24
Bandarbeyla,9.49,50.81,77.19,99,0,26.75
Bandipur,11.67,76.63,75.88,45,0,2.71
Banes,20.96,-75.72,69.8,94,5,8.05
Barranca,-10.75,-77.76,64.0,100,80,7.78
Barrow,-38.31,-60.23,46.41,76,0,4.38
Batagay,67.65,134.64,-43.19,0,56,4.05
Batemans Bay,-35.71,150.18,68.73,89,80,6.89
Bathsheba,13.22,-59.52,78.8,83,20,21.92
Belfast,54.6,-5.93,51.75,87,88,14.99
Beloha,-25.17,45.06,79.89,72,0,4.54
Benguela,-12.58,13.4,72.51,100,20,2.3
Bethel,60.79,-161.76,37.4,74,90,18.34
Bhawana,31.57,72.65,62.34,86,0,4.54
Biak,-0.91,122.88,85.65,89,12,3.53
Bilibino,68.06,166.44,-32.98,55,32,2.48
Bilma,18.69,12.92,50.37,56,12,16.06
Birjand,32.86,59.22,39.2,51,0,6.93
Birobidzhan,48.79,132.93,5.82,74,68,3.27
Birpur,26.52,87.01,72.91,65,48,4.21
Bitburg,49.97,6.52,42.08,100,75,10.29
Bluff,-23.58,149.07,94.06,37,36,6.22
Boa Vista,2.82,-60.67,78.8,74,0,10.29
Bogotol,56.21,89.53,17.79,86,80,4.99
Bom Jesus,-5.99,-35.58,78.8,83,40,5.82
Bonavista,48.65,-53.11,28.95,100,88,16.62
Bongandanga,1.51,21.07,71.25,100,80,2.75
Brae,60.4,-1.35,44.85,87,92,4.7
Bredasdorp,-34.53,20.04,60.8,77,8,1.12
Buala,-8.15,159.59,86.05,79,32,3.98
Bubaque,11.28,-15.83,71.83,100,8,22.39
Bud,62.91,6.91,39.2,80,92,14.99
Buin,-33.73,-70.74,66.2,39,0,8.05
Bulungu,-4.54,18.6,72.51,98,80,3.98
Bundaberg,-24.87,152.35,79.93,95,0,9.8
Busselton,-33.64,115.35,79.66,71,0,6.4
Butaritari,3.07,172.79,83.4,98,68,17.36
Cabedelo,-6.97,-34.84,78.8,78,75,4.7
Cabo San Lucas,22.89,-109.91,67.82,77,40,4.7
Calvinia,-31.47,19.78,56.76,68,0,4.09
Camacha,33.08,-16.33,61.81,72,40,3.36
Canjulao,10.29,123.94,87.8,70,20,8.05
Cape Town,-33.93,18.42,59.0,82,0,6.93
Caraguatatuba,-23.62,-45.41,69.8,83,20,2.24
Carauari,-4.88,-66.9,72.6,100,92,4.5
Caravelas,-17.73,-39.27,78.27,100,88,11.92
Carnarvon,-30.97,22.13,61.8,66,0,4.38
Castro,-42.48,-73.76,48.88,100,92,5.28
Catuday,16.29,119.81,86.37,86,0,4.99
Cayenne,4.94,-52.33,75.2,94,92,4.7
Champasak,14.89,105.88,82.4,58,40,4.7
Champerico,16.38,-93.6,75.2,73,20,16.11
Cherskiy,68.75,161.3,-22.45,65,76,12.1
Chifeng,42.27,118.96,20.04,52,24,9.8
Chisinau,47.01,28.86,33.8,86,90,11.41
Chokurdakh,70.62,147.9,-2.92,74,76,25.12
Chuy,-33.69,-53.46,63.55,83,0,19.6
Cidreira,-30.17,-50.22,70.08,100,92,9.35
Clyde River,70.47,-68.59,-23.81,74,1,5.82
Cockburn Town,21.46,-71.14,78.27,100,44,15.95
Codrington,-28.95,153.24,90.24,49,0,1.97
College,64.86,-147.8,-11.19,83,1,10.65
Comodoro Rivadavia,-45.87,-67.48,57.2,44,0,31.09
Constitucion,23.99,-104.67,46.81,85,20,3.87
Cuenca,40.07,-2.13,26.2,74,0,4.21
Dawlatabad,36.41,64.91,56.85,45,0,4.61
Deputatskiy,69.3,139.9,-14.08,60,32,13.56
Dicabisagan,17.08,122.42,77.91,100,88,6.29
Dickinson,46.88,-102.79,12.2,85,90,16.11
Diego de Almagro,-26.39,-70.05,52.98,78,0,1.36
Dikson,73.51,80.55,4.29,100,88,26.35
Dingalan,15.39,121.39,83.8,71,8,5.55
Divnomorskoye,44.5,38.13,29.67,100,0,5.32
Dudinka,69.41,86.18,3.57,73,88,21.61
Dukat,42.44,22.31,33.45,95,92,4.32
Dumas,21.09,72.71,74.67,91,0,10.87
Dwarka,28.58,77.04,64.4,55,0,4.61
East London,-33.02,27.91,62.6,100,90,3.36
Ekhabi,53.51,142.97,-7.24,92,12,7.85
Elban,50.1,136.51,-2.42,72,56,3.83
Elko,40.83,-115.76,21.2,85,1,2.75
Emerald,-23.53,148.16,94.6,35,44,5.55
Energetik,51.74,58.8,7.48,82,68,3.04
Esperance,10.24,-61.45,75.2,88,20,5.55
Esso,55.93,158.7,-8.5,57,8,3.49
Eureka,40.8,-124.16,44.87,93,1,4.7
Evensk,61.92,159.24,-16.51,100,36,6.62
Faanui,-16.48,-151.75,83.67,99,32,13.27
Fairbanks,64.84,-147.72,-11.19,83,1,10.65
Farkhor,37.49,69.4,46.41,43,0,3.83
Firozpur,30.96,74.61,51.8,76,40,4.54
Formosa,-26.19,-58.17,72.1,97,92,15.12
Fort Walton Beach,30.41,-86.62,60.58,82,90,9.17
Fortuna,38.18,-1.13,50.0,93,75,2.71
Fredericksburg,38.3,-77.46,46.78,70,1,8.05
Fukue,35.03,136.69,51.8,62,0,2.24
Georgetown,6.8,-58.16,73.4,94,56,4.7
Gimli,50.63,-96.99,-14.39,64,0,3.2
Gioia del Colle,40.8,16.92,45.46,76,0,6.93
Gizo,31.8,34.94,61.86,63,20,12.75
Goderich,43.74,-81.71,26.56,89,32,13.38
Gohpur,26.89,93.63,68.0,77,20,2.24
Goulburn,-34.75,149.72,82.14,45,20,9.53
Gravdal,59.79,5.78,44.6,87,92,14.99
Griffith,-34.29,146.06,88.48,30,80,11.03
Grindavik,63.84,-22.43,31.05,100,90,12.75
Groningen,53.22,6.57,46.4,93,90,18.34
Gua Musang,4.88,101.97,80.25,80,64,2.71
Guerrero Negro,27.97,-114.04,47.4,95,0,1.7
Hami,42.84,93.51,23.91,56,0,4.09
Hamilton,32.3,-64.78,68.0,82,75,6.93
Harper,30.3,-99.24,38.05,80,1,3.36
Hasaki,35.73,140.83,44.6,70,75,4.7
Hegang,47.34,130.28,11.85,68,36,6.11
Hendek,40.8,30.75,32.0,96,75,0.36
Hermanus,-34.42,19.24,60.54,81,8,2.98
High Level,58.52,-117.13,10.4,78,90,11.41
High Rock,26.63,-78.28,74.35,100,32,8.08
Hilo,19.71,-155.08,63.32,64,20,9.17
Hithadhoo,-0.6,73.08,82.5,100,64,4.83
Hobart,-42.88,147.33,60.8,41,92,21.92
Hokitika,-42.72,170.96,64.05,95,44,6.85
Honiara,-9.43,159.96,86.0,66,40,4.7
Horta,41.43,2.16,38.35,93,0,5.84
Humaita,-24.93,-65.37,63.95,93,0,0.85
Husavik,50.56,-96.99,-14.39,64,0,3.2
Illela,12.25,4.3,67.96,40,0,14.83
Ilulissat,69.22,-51.1,19.4,67,68,10.29
Imbituba,-28.24,-48.67,77.0,94,75,4.7
Inta,66.04,60.13,20.76,87,88,4.5
Iqaluit,63.75,-68.52,-18.41,68,20,5.82
Iranshahr,27.21,60.69,57.2,33,0,9.17
Isangel,-19.55,169.27,77.95,100,0,14.67
Islahiye,37.03,36.63,50.0,93,75,4.7
Ixtapa,20.71,-105.21,73.4,100,40,5.82
Jaciara,-15.95,-54.98,71.38,93,92,2.98
Jamestown,-33.21,138.6,83.31,32,76,8.3
Jining,35.41,116.58,46.81,33,0,18.14
Jinka,5.79,36.57,70.03,31,0,2.19
Jobner,26.97,75.39,66.2,32,0,3.36
Kaeo,-35.1,173.78,64.63,88,92,9.53
Kahului,20.89,-156.47,70.27,69,20,10.29
Kaitangata,-46.28,169.85,72.87,51,12,7.29
Kalengwa,-13.47,25.0,67.92,99,56,7.29
Kantang,7.42,99.52,84.2,79,40,11.41
Kapaa,22.08,-159.32,70.95,88,1,11.41
Karratha,-20.74,116.85,103.6,22,0,14.56
Katav-Ivanovsk,54.75,58.21,11.94,81,56,3.98
Kavieng,-2.57,150.8,85.02,100,36,6.29
Kawalu,-7.38,108.21,81.55,64,44,2.08
Kayerkan,69.35,87.76,1.77,70,88,19.86
Kenai,60.55,-151.26,25.68,68,1,17.22
Key West,47.93,-96.78,2.79,77,90,8.05
Khakhea,-24.69,23.5,78.09,21,0,4.76
Khatanga,71.98,102.47,-34.6,0,0,5.39
Khromtau,50.26,58.44,9.42,87,92,8.41
Kibala,9.11,18.35,68.0,82,0,5.1
Klaksvik,62.23,-6.59,39.2,100,100,6.93
Kloulklubed,7.04,134.26,88.66,66,20,6.93
Klyuchi,52.25,79.17,12.16,86,32,11.54
Kodiak,39.95,-94.76,23.0,67,75,10.29
Kompaniyivka,48.25,32.21,25.93,91,92,18.07
Komsomolskiy,67.55,63.78,15.85,91,88,8.08
Krasnovishersk,60.4,57.08,15.72,87,76,12.82
Krasnyy Chikoy,50.36,108.75,14.68,59,64,5.28
Kruisfontein,-34.0,24.73,66.03,82,0,1.97
Kudahuvadhoo,2.67,72.89,77.82,100,88,2.86
Kumluca,36.37,30.29,26.07,92,92,2.08
Kurilsk,45.23,147.88,32.5,97,56,7.63
Kursenai,55.98,22.92,35.6,100,90,14.99
Kushiro,43.11,144.15,33.8,74,75,6.93
Kuytun,54.34,101.51,13.65,72,64,4.5
Kyshtovka,56.56,76.62,9.33,84,48,9.91
La Asuncion,-1.64,-78.74,38.53,92,8,0.74
La Primavera,-32.92,-68.67,62.6,39,0,0.36
Labuhan,-2.54,115.51,87.72,64,36,4.21
Lagoa,37.14,-8.45,59.0,82,40,17.22
Laguna,27.52,-110.01,49.38,72,8,2.37
Lakeside,32.86,-116.92,51.35,66,1,2.08
Lamar,38.09,-102.62,19.4,73,75,25.28
Lamu,0.57,122.3,84.25,73,36,2.37
Lasa,34.92,32.53,59.0,62,75,20.8
Lata,30.78,78.62,46.9,70,64,1.48
Lavrentiya,65.58,-170.99,32.5,91,92,26.13
Lebu,8.96,38.73,41.0,56,0,4.7
Leningradskiy,69.38,178.42,19.0,91,80,9.13
Lidkoping,58.51,13.16,31.91,100,88,8.05
Lokosovo,61.13,74.84,18.06,81,68,10.92
Lompoc,34.64,-120.46,47.66,70,1,5.84
Longyearbyen,78.22,15.63,26.6,68,20,13.87
Lorengau,-2.02,147.27,82.18,100,92,5.21
Los Negros,20.23,-76.31,71.58,69,20,8.05
Luanda,-8.83,13.24,72.87,100,44,3.49
Luang Prabang,19.89,102.14,69.8,64,0,2.24
Luderitz,-26.65,15.16,57.2,82,0,11.41
Macaubas,-13.02,-42.7,64.68,90,0,4.83
Maceio,-9.67,-35.74,71.52,100,92,2.37
Mackay,53.65,-115.58,14.9,72,75,9.17
Macroom,51.91,-8.96,51.8,100,90,16.11
Mahebourg,-20.41,57.7,80.6,78,75,2.24
Mahon,51.89,-8.4,51.8,100,90,16.11
Male,50.74,33.7,30.61,93,92,23.4
Maltahohe,-24.83,16.98,65.76,29,0,4.32
Manaure,11.78,-72.45,78.99,99,80,24.23
Manggar,-2.88,108.27,85.2,82,24,13.27
Mantua,45.16,10.79,28.4,92,40,2.24
Mao,19.55,-71.08,66.2,100,40,3.36
Mar del Plata,-46.43,-67.52,53.97,59,0,23.22
Marawi,8.0,124.29,76.96,94,56,2.48
Mareeba,-16.99,145.42,91.4,41,20,14.99
Maribo,54.78,11.5,45.51,88,92,23.55
Marzuq,14.4,46.47,58.06,35,0,3.31
Matamoros,25.87,-97.51,55.4,76,1,2.59
Matane,48.83,-67.52,21.4,92,90,6.93
Matara,-13.74,-72.9,42.18,97,64,2.04
Mataura,-46.19,168.86,76.11,32,0,20.31
Mayumba,-3.44,10.65,76.83,100,76,1.86
Mazatlan,23.22,-106.42,68.0,94,75,1.7
Mbandaka,0.05,18.26,75.12,95,12,3.2
Mehamn,71.03,27.85,7.66,100,12,4.09
Mercedes,-33.25,-58.03,56.49,86,0,11.36
Mersin,36.81,34.63,55.4,93,40,5.82
Meulaboh,4.14,96.13,78.58,100,100,5.73
Mihaileni,47.97,26.15,43.25,82,40,16.11
Miraflores,5.2,-73.14,51.99,100,88,1.7
Mitsamiouli,-11.38,43.28,82.4,83,75,3.36
Moerai,-22.43,-151.33,77.86,100,64,14.61
Montego Bay,18.47,-77.92,78.8,78,20,8.05
Moose Factory,51.26,-80.61,-2.21,77,90,10.29
Morondava,-20.3,44.28,83.85,84,20,3.83
Mosquera,4.71,-74.23,55.4,87,75,2.24
Mount Gambier,-37.83,140.78,67.2,52,0,8.01
Mount Isa,-20.73,139.49,98.6,25,75,5.82
Muisne,0.61,-80.02,71.97,96,88,5.06
Mujiayingzi,42.12,118.78,20.04,52,24,9.8
Mumford,5.26,-0.76,71.65,90,0,4.76
Nabire,-3.36,135.5,77.68,85,64,1.52
Namatanai,-3.66,152.44,83.49,100,68,5.99
Namibe,-15.19,12.15,68.82,100,56,3.2
Nanortalik,60.14,-45.24,25.66,97,0,6.33
Narasannapeta,18.42,84.04,83.04,57,0,4.38
Nazret,8.55,39.27,56.08,47,0,5.06
Necochea,-38.55,-58.74,46.18,95,0,3.04
Nemuro,43.32,145.57,33.8,74,75,5.82
Neuquen,-38.95,-68.06,57.2,87,0,4.27
New Norfolk,-42.78,147.06,60.8,41,80,21.92
Nikolskoye,59.7,30.79,30.2,74,75,26.84
Nokha,27.56,73.47,65.98,62,0,4.72
Nome,30.04,-94.42,43.68,87,1,2.75
Norman Wells,65.28,-126.83,1.4,84,20,4.7
North Bend,43.41,-124.22,45.27,76,1,10.29
Nuuk,64.17,-51.74,21.2,92,24,10.29
Nyahururu,0.03,36.37,58.33,65,0,2.3
Nyakabindi,-2.63,33.98,69.4,70,44,4.83
Oktyabrskoye,56.73,85.44,16.44,82,76,4.88
Omboue,-1.57,9.26,77.73,100,80,5.5
Opuwo,-18.06,13.84,63.42,87,32,4.27
Oranjemund,-28.55,16.43,61.08,98,80,13.11
Oranjestad,12.52,-70.03,80.6,78,40,14.99
Ostrovnoy,68.05,39.51,16.35,84,64,4.83
Outram,-45.86,170.23,75.84,40,0,7.56
Paamiut,61.99,-49.67,29.67,100,48,14.12
Padang,-0.92,100.36,80.16,100,44,3.6
Palu,-0.9,119.87,81.24,52,56,1.7
